Symbol,Date,Open,High,Low,Close,Volume
HBL,29-Oct-2020,132.10,133.50,126.75,130.11,2206631
HBL,02-Nov-2020,129.99,130.00,125.25,125.97,978768
HBL,03-Nov-2020,126.90,132.00,126.90,130.99,2271383
HBL,04-Nov-2020,131.90,131.90,128.50,128.73,719907
HBL,05-Nov-2020,129.89,131.40,129.16,130.80,1009389
HBL,06-Nov-2020,131.44,131.88,127.05,127.83,522560
HBL,09-Nov-2020,128.10,130.94,128.02,130.21,2644077
HBL,10-Nov-2020,134.87,134.87,129.10,130.61,3450426
HBL,11-Nov-2020,131.89,133.95,130.01,132.75,2626483
HBL,12-Nov-2020,132.51,133.48,129.70,130.18,3333605
HBL,13-Nov-2020,130.51,132.00,130.05,131.13,674964
HBL,16-Nov-2020,131.45,132.45,130.05,130.57,1828356
HBL,17-Nov-2020,131.90,132.50,131.00,131.04,1798549
HBL,18-Nov-2020,130.90,131.40,129.00,129.83,2981244
HBL,19-Nov-2020,130.74,131.74,130.00,131.42,1612282
HBL,20-Nov-2020,131.00,131.83,129.75,130.34,1778387
HBL,23-Nov-2020,130.88,130.88,126.76,128.57,2378928
HBL,24-Nov-2020,129.00,130.01,128.48,128.73,1340129
HBL,25-Nov-2020,130.00,130.00,128.35,129.63,1912828
HBL,26-Nov-2020,130.80,131.05,128.75,129.81,2900517
HBL,27-Nov-2020,130.00,130.80,129.12,129.91,695936
HBL,30-Nov-2020,130.44,130.75,129.25,130.12,2735504
HBL,01-Dec-2020,130.50,131.50,129.60,130.61,2575827
HBL,02-Dec-2020,131.39,131.47,129.90,130.39,3635603
HBL,03-Dec-2020,130.01,130.98,129.75,129.91,1475106
HBL,04-Dec-2020,130.00,130.49,129.60,129.91,5045137
HBL,07-Dec-2020,130.01,131.20,129.00,130.33,3312481
HBL,08-Dec-2020,130.49,130.99,130.30,130.70,2961196
HBL,09-Dec-2020,130.99,132.07,130.59,131.31,4784767
HBL,10-Dec-2020,131.01,138.22,131.01,132.32,10067093
HBL,11-Dec-2020,132.80,133.49,131.90,132.82,13323030
HBL,14-Dec-2020,133.00,133.79,132.61,133.28,3131914
HBL,15-Dec-2020,133.99,134.50,132.62,132.85,2998889
HBL,16-Dec-2020,132.85,133.80,132.06,133.21,6838035
HBL,17-Dec-2020,133.60,137.70,133.00,135.93,15773135
HBL,18-Dec-2020,136.00,137.90,135.00,136.53,10056351
HBL,21-Dec-2020,136.50,136.50,134.02,134.58,4756264
HBL,22-Dec-2020,134.50,135.99,133.00,133.12,4881094
HBL,23-Dec-2020,133.25,135.45,132.75,134.31,4301596
HBL,24-Dec-2020,135.45,135.50,133.01,134.39,3460629
HBL,28-Dec-2020,135.68,136.00,133.90,134.75,2568625
HBL,29-Dec-2020,135.06,135.49,130.85,131.69,3076521
HBL,30-Dec-2020,131.69,134.50,131.69,132.54,3765696
HBL,31-Dec-2020,132.50,133.00,132.00,132.28,726478
HBL,01-Jan-2021,133.80,135.99,132.65,133.14,5691473
HBL,04-Jan-2021,134.10,135.00,132.30,133.77,3395212
HBL,05-Jan-2021,134.00,136.70,133.10,134.98,6373631
HBL,06-Jan-2021,135.00,137.99,134.76,136.28,4656620
HBL,07-Jan-2021,136.84,140.00,136.80,138.88,11093886
HBL,08-Jan-2021,139.90,142.48,139.60,140.12,12254568
HBL,11-Jan-2021,141.50,141.90,138.90,139.97,3562029
HBL,12-Jan-2021,140.98,143.20,140.00,142.02,3965401
HBL,13-Jan-2021,142.90,144.80,142.02,143.20,3403879
HBL,14-Jan-2021,143.98,144.50,141.50,142.69,1583524
HBL,15-Jan-2021,143.44,143.44,141.15,141.50,919892
HBL,18-Jan-2021,141.15,142.25,140.10,140.98,1681485
HBL,19-Jan-2021,140.10,141.16,138.50,139.45,1994573
HBL,20-Jan-2021,139.00,141.95,138.25,141.54,4047339
HBL,21-Jan-2021,141.54,143.50,140.50,142.81,1571769
HBL,22-Jan-2021,142.55,143.49,141.81,142.98,2087135
HBL,25-Jan-2021,143.00,143.49,141.01,141.53,1214394
HBL,26-Jan-2021,141.90,142.20,140.88,141.05,1021215
HBL,27-Jan-2021,141.77,142.00,140.28,141.05,1087696
HBL,28-Jan-2021,141.05,144.75,140.90,142.07,2867301
HBL,29-Jan-2021,142.97,142.97,140.55,142.18,2026733
HBL,01-Feb-2021,142.47,142.69,140.90,141.25,1750088
HBL,02-Feb-2021,141.50,141.50,139.70,140.00,1180813
HBL,03-Feb-2021,140.58,141.01,139.50,140.09,2337796
HBL,04-Feb-2021,140.01,141.50,139.00,139.41,914415
HBL,08-Feb-2021,139.95,140.00,137.70,138.12,1416273
HBL,09-Feb-2021,138.70,139.00,135.99,136.58,1342598
HBL,10-Feb-2021,136.58,138.60,135.50,137.00,1918073
HBL,11-Feb-2021,137.10,139.00,134.00,134.74,3598119
HBL,12-Feb-2021,134.80,135.75,132.51,133.49,1325373
HBL,15-Feb-2021,134.50,136.25,133.49,134.89,1051682
HBL,16-Feb-2021,136.00,138.50,134.55,137.96,1746791
HBL,17-Feb-2021,139.01,140.24,129.05,130.26,6616307
HBL,18-Feb-2021,130.99,131.00,123.16,124.89,3057167
HBL,19-Feb-2021,125.49,126.97,123.00,123.80,1730848
HBL,22-Feb-2021,124.49,124.49,118.10,119.45,3485611
HBL,23-Feb-2021,120.00,120.97,116.40,116.90,2719702
HBL,24-Feb-2021,117.49,119.99,116.90,118.67,3034974
HBL,25-Feb-2021,119.80,122.00,119.80,121.63,4398324
HBL,26-Feb-2021,121.97,127.22,121.00,123.66,4882868
HBL,01-Mar-2021,123.00,124.80,120.85,121.75,1493603
HBL,02-Mar-2021,121.05,124.50,121.05,123.50,2285676
HBL,03-Mar-2021,123.25,123.26,121.01,121.42,1491313
HBL,04-Mar-2021,118.91,121.98,118.03,119.33,1739316
HBL,05-Mar-2021,120.05,122.00,118.50,121.49,1854911
HBL,08-Mar-2021,122.89,122.89,117.95,119.19,783257
HBL,09-Mar-2021,118.98,121.45,117.00,119.66,1586132
HBL,10-Mar-2021,120.00,120.00,117.40,117.84,673668
HBL,11-Mar-2021,118.98,118.98,114.01,115.49,1188520
HBL,12-Mar-2021,116.51,119.00,115.02,118.19,924779
HBL,15-Mar-2021,119.50,120.89,118.45,119.76,877093
